int_no,rue_1,rue_2,street_1,street_2,date_,all_pedest,pi,fi,fli,fri,fti,cli,cri,cti,acc,ln_pi,ln_fi,ln_fli,ln_fri,ln_fti,ln_cli,ln_cri,ln_cti,tot_crossw,number_of_,avg_crossw,tot_road_w,median,green_stra,half_phase,any_ped_pr,ped_countd,lt_protect,lt_restric,lt_prot_re,parking,north_veh,north_ped,east_veh,east_ped,south_veh,south_ped,west_veh,west_ped,total_lane,of_exclusi,any_exclus,commercial,curb_exten,all_red_an,new_half_r,distdt,ln_distdt,traffic_10000,ped_100,borough,X,X.1,node_id,geometry
1591,Acadie,Arthur-Lismer,Acadie,Arthur-Lismer,29/09/2004,0,765.04541015625,45473.4453125,3632.96362304688,1724.37841796875,40116.10546875,929732.0625,446101.5625,20172252,3,6.63993501663208,10.7248840332031,8.19780445098877,7.4526219367981,10.5995330810547,13.7426519393921,13.0083017349243,16.8198184967041,68.5999984741211,3,22.8999996185303,62.9000015258789,1,1,1,1,1,1,1,1,0,23609.146484375,247.831604003906,3597.1455078125,262.198669433594,18267.154296875,255.01513671875,0,0,7,1,1,0,0,0,1,8478.4013671875,9.04527759552002,4.54734468460083,7.65045404434204,Ahuntsic-Cartierville,NA,,558,"c(291630.625, 5043948)"
1204,Chabanel,Saint-Laurent,Chabanel,Saint-Laurent,18/09/2003,0,2417.70068359375,43204.859375,7313.53271484375,6344.45166015625,29546.873046875,5114836.5,3230470.5,37913900,4,7.79057216644287,10.6737079620361,8.89748191833496,8.75533580780029,10.2937326431274,15.4476556777954,14.9881381988525,17.4508285522461,76.5,4,19.1000003814697,69.5999984741211,1,0,1,1,1,0,0,0,0,18569.00390625,904.849548339844,1347.62817382812,522.166137695312,16731.787109375,382.683410644531,6556.43798828125,608.001647949219,6,0,0,2,0,0,1,7836.6181640625,8.96656227111816,4.32048606872559,24.1770076751709,Ahuntsic-Cartierville,NA,,579,"c(293003.59375, 5044960)"
1206,Fleury,Saint-Laurent,Fleury,Saint-Laurent,15/09/2003,0,1687.28747558594,30805.923828125,3236.91137695312,3300.07080078125,24268.94140625,1397073.25,1312611.25,19568546,7,7.43087720870972,10.3354616165161,8.08237457275391,8.10169887542725,10.0969533920288,14.1498899459839,14.0875291824341,16.7894344329834,69.1999969482422,4,17.2999992370605,60.9000015258789,0,0,0,0,0,0,0,0,0,9721.2607421875,311.561462402344,7036.9931640625,388.440277099609,9647.5751953125,424.856567382812,4400.09423828125,562.429138183594,6,0,0,2,0,0,0,8973.1884765625,9.10199642181396,3.08059239387512,16.872875213623,Ahuntsic-Cartierville,NA,,629,"c(291925.59375, 5045411.5)"
1207,Legendre,Saint-Laurent,Legendre,Saint-Laurent,19/09/2003,0,1747.22839355469,47095.9609375,3376.57421875,4743.77587890625,38975.609375,1143941.625,2082330.375,37000308,4,7.46578598022461,10.7599420547485,8.1246166229248,8.46458911895752,10.5706911087036,13.949990272522,14.5489978790283,17.4264373779297,66.4000015258789,4,16.6000003814697,57.4000015258789,0,1,0,1,1,0,0,0,0,21160.5546875,572.558959960938,4878.4248046875,240.105377197266,16168.197265625,406.332183837891,4888.7822265625,528.231811523438,6,0,0,0,0,0,0,7581.26806640625,8.93343544006348,4.70959615707397,17.4722843170166,Ahuntsic-Cartierville,NA,,687,"c(293247.59375, 5044858.5)"
1210,Port-Royal,Saint-Laurent,Port-Royal,Saint-Laurent,16/09/2003,0,2248.59106445312,34270.203125,4006.26318359375,5020.443359375,25243.494140625,2075241,2641148.25,26279714,4,7.71805906295776,10.4420309066772,8.29561424255371,8.52127265930176,10.136323928833,14.5455875396729,14.7867240905762,17.0843086242676,63.2999992370605,4,15.8000001907349,58.5,0,0,0,0,1,0,0,0,0.5,14072.3779296875,699.322570800781,3244.36669921875,591.734497070312,14016.8759765625,326.350524902344,2936.58081054688,631.183471679688,6,0,0,2,0,0,0,8334.6796875,9.02818012237549,3.42702031135559,22.4859104156494,Ahuntsic-Cartierville,NA,,718,"c(292527.375, 5045154.5)"
1212,Saint-Laurent,Sauriol,Saint-Laurent,Sauriol,16/09/2003,0,702.908813476562,21782.1640625,580.252258300781,782.0791015625,20419.83203125,107937.5,170040.015625,8053241.5,1,6.55522680282593,9.98884677886963,6.36346292495728,6.66195583343506,9.92426204681396,11.5893077850342,12.0437889099121,15.9015846252441,48.5,3,16.2000007629395,45.7000007629395,0,0,0,0,0,1,1,1,0.5,11917.8759765625,147.037048339844,100.913429260254,96.8292770385742,9112.482421875,247.452606201172,650.891662597656,211.589904785156,6,0,0,0,0,0,0,8779.771484375,9.0802059173584,2.17821645736694,7.02908802032471,Ahuntsic-Cartierville,NA,,734,"c(292107.5, 5045333.5)"
1213,Saint-Laurent,Sauvé,Saint-Laurent,SauvÚ,15/09/2003,0,3835.84765625,48458.93359375,3573.7607421875,6052.76123046875,38832.41015625,3260753.5,6232342.5,74470584,4,8.25214576721191,10.7884721755981,8.18137359619141,8.70827007293701,10.5670108795166,14.9974689483643,15.6452627182007,18.1259155273438,83.5999984741211,4,20.8999996185303,70.6999969482422,1,1,0,1,1,0,0,0,0.5,11610.775390625,890.175659179688,11668.6708984375,1197.69079589844,12910.802734375,1015.60949707031,12268.68359375,732.371765136719,6,1,1,0,0,0,0,8555.7119140625,9.05435466766357,4.84589338302612,38.3584747314453,Ahuntsic-Cartierville,NA,,737,"c(292317.125, 5045241.5)"
1468,André-Grasset,Émile-Journault,AndrÚ-Grasset,?mile-Journault,28/10/2003,0,1259.63757324219,12820.412109375,2113.52807617188,2028.98693847656,8677.8974609375,670667.8125,627751.5,5330937,2,7.13857889175415,9.45879364013672,7.65611410140991,7.61529207229614,9.06853485107422,13.4160289764404,13.3499002456665,15.4890384674072,67,4,16.7999992370605,36,0,0,0,0,0,0,0,0,1,2774.93798828125,218.235092163086,4222.0830078125,271.836700439453,2685.423828125,516.87255859375,3137.96752929688,252.693252563477,4,0,0,0,0,0,0,7976.703125,8.98428058624268,1.28204119205475,12.5963754653931,Ahuntsic-Cartierville,NA,,816,"c(294223.71875, 5046420)"
1203,Beauharnois,Saint-Laurent,Beauharnois,Saint-Laurent,19/09/2003,0,1063.8515625,38240.21875,2050.802734375,2491.00024414062,33698.41796875,333552.40625,1111248.375,26064952,0,6.969651222229,10.551643371582,7.62598705291748,7.82043981552124,10.4252061843872,12.7175550460815,13.920994758606,17.0761013031006,70.5,4,17.6000003814697,64.9000015258789,1,0,0,0,0,0,0,0,0,18472.76171875,166.226791381836,300.370086669922,210.553939819336,16768.9375,609.498229980469,2698.15209960938,77.572509765625,6,0,0,0,0,0,0,7330.06591796875,8.89974021911621,3.82402181625366,10.6385154724121,Ahuntsic-Cartierville,NA,,831,"c(293490.34375, 5044761.5)"
1170,Berri,Émile-Journault,Berri,?mile-Journault,22/10/2003,0,1464.79809570312,23647.37890625,2551.83935546875,700.999328613281,20394.541015625,964224.5,263425.65625,14603705,1,7.28947305679321,10.0710077285767,7.84457015991211,6.55250692367554,9.92302322387695,13.7790794372559,12.4815263748169,16.4967861175537,57.7000007629395,4,14.3999996185303,48.9000015258789,0,0,0,0,0,1,1,1,1,19219.484375,333.605834960938,2703.13403320312,379.620452880859,0,375.785888671875,1724.76086425781,375.785888671875,3,0,0,0,0,0,0,7490.21923828125,8.92135334014893,2.36473798751831,14.6479806900024,Ahuntsic-Cartierville,NA,,833,"c(293683.875, 5045239)"
