node_id_start,node_id_end,segment_length
3220,3293,214.463848250571
3222,3268,80.0546649955093
3240,3217,70.1463140395326
3245,3301,97.622786868756
3251,3252,180.943103631196
3252,3253,256.791238439324
3253,3321,225.706789797075
3254,3321,42.8203234129218
3255,3256,284.358502850161
3260,3261,321.596282852492
3264,3305,194.527030002015
3265,3308,194.964545579832
3274,3251,74.6178475434093
3274,3275,195.097409154021
3275,3252,72.9919594638234
3275,3276,263.575050116104
3276,3253,74.6361607115145
3276,3254,215.505368580502
3281,3265,210.312513248854
3282,3283,214.718165355285
3283,3268,321.491665302852
3293,3283,81.1373831949766
3308,3245,77.592120131703
3324,3354,96.5436566470171
3359,3425,108.796597809912
3366,3421,211.528998694176
3371,3391,556.984644114893
3378,3536,216.006976972462
3383,3401,224.624345638631
3388,3389,94.0344783399615
3389,3569,216.876641522608
3391,3305,97.8910512704333
3398,3399,73.9150258097464
3398,3466,166.886189020718
3399,3330,58.9503367732912
3407,3264,326.036310890843
3421,3383,222.392314660145
3425,3336,73.3882297542168
3436,3354,184.348743854295
3447,3907,134.797381155773
3458,3577,51.008485405767
3472,3473,94.083518570862
3472,3556,80.770597542285
3473,3550,80.9490231007111
3475,3586,137.839291162006
3478,3589,171.63270847264
3487,3488,164.079259979587
3488,3591,370.457564286979
3500,3569,96.2095829344915
3503,3583,100.238370839157
3516,3511,87.5494766666774
3537,3516,78.0769061120674
3537,3538,164.586107868105
3539,3475,212.813997262815
3541,3542,54.1333405950754
3547,3488,74.8482035664901
3550,3557,308.29967835868
3556,3550,93.9771618918557
3561,21552,129.115116129255
3569,3484,73.5235752132921
3577,3597,55.8789576496247
3583,3487,73.339935426508
3583,3547,162.12005860727
3586,3587,59.264554069309
3597,3542,149.213106246935
3599,3539,140.176643753973
3602,3504,95.4125343982534
3682,25023,200.435357218986
3716,3742,99.4320091493185
3723,3674,171.335264702129
3736,3753,276.940938825154
3740,3756,278.436277399592
3743,3781,177.011666120246
3750,3723,129.544844619829
3751,3728,131.141933305861
3757,3625,305.389688087636
3759,27154,142.480802185119
3780,3781,97.5178670426218
3825,3896,212.344587256656
3830,3898,215.630789795783
3832,3833,246.889317483968
3833,3834,199.583358846255
3853,3832,83.8633430959772
3855,3856,190.26983471182
3856,3834,80.9801113747929
3857,3858,199.274700368604
3857,3881,113.343727392137
3858,3859,187.869452442494
3858,3878,95.3851534070795
3859,3894,94.4791082752911
3872,3736,215.868795527309
3874,3740,212.047801945484
3876,3892,204.286043027385
3878,3855,81.9900618855537
3878,3894,189.252096837424
3881,3853,82.0813980508609
3881,3878,225.972332423277
3892,25030,140.863424855728
3894,3856,81.9829733806647
3898,3874,219.288715308113
3907,3430,75.1332189592515
3915,3876,124.964590803267
3940,3941,68.6395963570396
3940,4076,68.2519047397587
3941,4135,67.9534104550957
3941,4162,114.317748728738
3945,3946,89.0139467839982
3945,4213,199.015948917718
3946,4214,167.253056914614
3952,3953,168.182548877973
3953,4171,180.459703033323
3955,3956,90.2418547195288
3959,4145,122.520843323563
3961,4187,120.670771912985
3963,3964,57.8655343639391
3967,3968,54.3899412746943
3987,3997,116.148261166453
3992,3941,62.7500152555571
3996,3997,133.856559069981
3996,24775,111.456497682179
3997,3929,114.280637499863
4007,4254,168.480056933605
4018,3659,159.75210456135
4018,3742,99.2837697917177
4019,4020,249.963152507083
4020,3952,85.8140667916653
4020,4021,170.485452771031
4021,3953,86.7539942967462
4021,4170,178.079554321094
4025,4128,233.570593487259
4027,4028,102.238225029558
4031,4005,314.012685595715
4034,4254,27.4136438758444
4037,4038,178.450615045844
4037,4106,102.635943720023
4038,4082,102.474752354977
4039,4107,101.516655188008
4044,4045,98.6285859456673
4045,4046,132.013629530064
4046,3987,136.560142687289
4076,4077,77.5102421873737
4076,4135,77.6621357363581
4077,4098,167.549961039016
4077,4136,81.7680766843089
4081,4120,178.513654147217
4081,4198,93.2741911778821
4082,4021,92.6671950597796
