geometry,node.id,deg_unweighted,betweenes_unweighted,closeness_unweighted,eigcentrality_unweighted,eccentricity_unweighted,harmonic_unweighted,deg_weighted,betweenes,closeness,eigcentrality,eccentricity,harmonic
"c(293660.660262972, 5047997.13158107)",1265,4,624863.3317687851,4.0712020671935614e-7,3.803768838280022e-10,166,526.8443869618576,609.0359677270629,7313581,2.366821723002807e-9,0,33595.235219073256,3.6808605899815485
"c(293617.266255874, 5047557.03765945)",1269,4,906754.5638537445,4.136973539089849e-7,2.9918963666899623e-10,163,533.3409292980995,345.38215886524375,7194565,2.4043492748005552e-9,0,33380.816137247966,3.922846635058727
"c(293454.916257386, 5047653.72172295)",1270,4,778528.9689946829,4.158849761968234e-7,4.1683550458436114e-10,162,536.59877005407,595.6025451761197,7266369,2.3965218595514703e-9,0,33194.90474775806,3.720648562603399
"c(293282.947306459, 5047326.50771089)",1280,4,2928869.136179674,4.3307535034713155e-7,3.0694475484751612e-9,158,559.1493354342357,631.2031032308741,8004143,2.4319997123606304e-9,0,32824.248660201265,3.830980232247728
"c(293055.436295615, 5047461.89989479)",1281,4,226891.73610287756,4.272881601441841e-7,2.25903113241825e-9,159,547.2206323092853,630.4948365154858,803318,2.401452635483673e-9,0,32964.223240318046,3.7382133518857907
"c(294145.969193696, 5048455.70548473)",1318,4,728284.3209491145,4.3142946387123385e-7,2.4862561281779656e-8,163,566.559654467406,270.3235642033535,7656153,2.332904806035018e-9,0,34419.97279396696,4.239845891643974
"c(293987.334224427, 5048548.47247381)",1319,4,2118662.014448207,4.291302174188247e-7,1.8992013950588313e-8,164,564.8692370307887,445.319197376395,7579586,2.325633490049132e-9,0,34236.13229570674,3.7784163545853255
"c(295573.069432078, 5046270.90771912)",1389,3,444653.07528277324,5.280304990416246e-7,0.2999417925232059,145,701.8677591767536,285.01366676621046,1911888,2.533429416733708e-9,0,34387.571157964085,4.255959114274816
"c(296011.049249109, 5046522.00181057)",1390,4,113857.07250662456,5.275970171775037e-7,0.0571442232995138,146,706.3885853132471,175.2862253318546,2262036,2.509515698296998e-9,0,34879.42385210182,4.331435829489605
"c(296259.762766968, 5046708.07071972)",1394,4,983937.152175701,5.184683615051758e-7,0.01177531342522292,148,695.4789193545447,443.1002552547261,1928435,2.4896489361216775e-9,0,35191.46971292252,4.214493760999268
"c(295314.370769773, 5047696.60512845)",1402,4,148200.8074224922,4.707778756995759e-7,2.728464219346195e-5,154,612.2468699013286,572.4127737722795,1431655,2.3288223341405366e-9,0,35744.21099271364,3.693658586384788
"c(295728.476845798, 5046295.26180967)",1437,5,7985062.386064429,5.365149384536888e-7,0.8429705366591451,144,722.4308046986489,588.4484224315618,2383736,2.529265593765116e-9,0,34552.77670138071,4.205052795801041
"c(295860.769828936, 5046480.92377278)",1438,4,210726.6488197242,5.295519090611097e-7,0.09643767766724078,146,714.7178336154213,335.03428528914395,1941985,2.5124538136491186e-9,0,34722.70754935918,4.240802166566823
"c(295917.369822369, 5046579.7787536)",1439,6,296124.61522622907,5.255860547303271e-7,0.10425461527362263,146,705.5572396655307,587.6659831712379,8059290,2.504676884751903e-9,0,34833.00101549827,4.208889855466696
"c(294856.265904248, 5047985.49889324)",1458,4,840508.6571065914,4.615473374487971e-7,1.5836213640967458e-5,156,607.4661510735818,639.6859463691995,1237044,2.3105526795350165e-9,0,35202.68583979601,3.657374668497532
"c(294622.401099894, 5048132.23352539)",1471,4,993840.2161632747,4.5893959253507215e-7,1.157579774428825e-5,157,607.1571289407943,595.3764162756576,956774,2.3101455832699596e-9,0,34927.095995120115,3.6800386115309047
"c(295087.281749127, 5047839.789336)",1510,3,367764.67245240865,4.655796932760981e-7,1.675721356278337e-5,155,609.0393862463259,340.00117616373564,1097672,2.3188422596050175e-9,0,35475.74914972994,3.682781762030867
